timesteps,ep_rew_mean,ep_len_mean
21048,1.0,23.0
21068,1.0,22.8
21080,1.0,21.2
21097,1.0,20.4
21112,1.0,18.5
21133,1.0,18.9
21150,1.0,18.4
21180,1.0,19.4
21216,1.0,21.5
21250,1.0,22.6
21280,1.0,23.2
21305,1.0,23.7
21335,1.0,25.5
21357,1.0,26.0
21373,1.0,26.1
21392,1.0,25.9
21408,1.0,25.8
21422,1.0,24.2
21436,1.0,22.0
21451,1.0,20.1
21481,1.0,20.1
21502,1.0,19.7
21518,1.0,18.3
21532,1.0,17.5
21551,1.0,17.8
21576,1.0,18.4
21599,1.0,19.1
21622,1.0,20.0
21641,1.0,20.5
21663,1.0,21.2
21684,1.0,20.3
21716,1.0,21.4
21754,1.0,23.6
21776,1.0,24.4
21797,1.0,24.6
21811,1.0,23.5
21833,1.0,23.4
21853,1.0,23.1
21871,1.0,23.0
21885,1.0,22.2
21904,1.0,22.0
21949,1.0,23.3
21968,1.0,21.4
21989,1.0,21.3
22012,1.0,21.5
22030,1.0,21.9
22058,1.0,22.5
22087,1.0,23.4
22109,1.0,23.8
22125,1.0,24.0
22142,1.0,23.8
22159,1.0,21.0
22179,1.0,21.1
22195,1.0,20.6
22213,1.0,20.1
22226,1.0,19.6
22243,1.0,18.5
22261,1.0,17.4
22280,1.0,17.1
22304,1.0,17.9
22332,1.0,19.0
22356,1.0,19.7
22384,1.0,20.5
22400,1.0,20.5
22430,1.0,21.7
22447,1.0,22.1
22464,1.0,22.1
22493,1.0,23.2
22519,1.0,23.9
22542,1.0,23.8
22558,1.0,22.6
22574,1.0,21.8
22589,1.0,20.5
22605,1.0,20.5
22617,1.0,18.7
22638,1.0,19.1
22651,1.0,18.7
22673,1.0,18.0
22693,1.0,17.4
22710,1.0,16.8
22766,1.0,20.8
22782,1.0,20.8
22799,1.0,21.0
22821,1.0,21.6
22841,1.0,22.4
22858,1.0,22.0
22874,1.0,22.3
22890,1.0,21.7
22917,1.0,22.4
22941,1.0,23.1
22958,1.0,19.2
22981,1.0,19.9
22996,1.0,19.7
23013,1.0,19.2
23032,1.0,19.1
23050,1.0,19.2
23079,1.0,20.5
23105,1.0,21.5
23125,1.0,20.8
23140,1.0,19.9
23160,1.0,20.2
23176,1.0,19.5
23194,1.0,19.8
23219,1.0,20.6
23234,1.0,20.2
23250,1.0,20.0
23268,1.0,18.9
23286,1.0,18.1
23301,1.0,17.6
23318,1.0,17.8
23338,1.0,17.8
23352,1.0,17.6
23373,1.0,17.9
23389,1.0,17.0
23410,1.0,17.6
23425,1.0,17.5
23445,1.0,17.7
23466,1.0,18.0
23487,1.0,18.6
23504,1.0,18.6
23518,1.0,18.0
23533,1.0,18.1
23549,1.0,17.6
23564,1.0,17.5
23580,1.0,17.0
23599,1.0,17.4
23615,1.0,17.0
23637,1.0,17.1
23653,1.0,16.6
23681,1.0,17.7
23699,1.0,18.1
23714,1.0,18.1
23728,1.0,17.9
23780,1.0,21.6
23794,1.0,21.4
23815,1.0,21.6
23834,1.0,21.9
23856,1.0,21.9
23874,1.0,22.1
23893,1.0,21.2
23910,1.0,21.1
23931,1.0,21.7
23950,1.0,22.2
23969,1.0,18.9
23987,1.0,19.3
24001,1.0,18.6
24013,1.0,17.9
24026,1.0,17.0
24048,1.0,17.4
24063,1.0,17.0
24090,1.0,18.0
24105,1.0,17.4
24123,1.0,17.3
24141,1.0,17.2
24154,1.0,16.7
24169,1.0,16.8
24188,1.0,17.5
24204,1.0,17.8
24219,1.0,17.1
24235,1.0,17.2
24257,1.0,16.7
24281,1.0,17.6
24298,1.0,17.5
24315,1.0,17.4
24341,1.0,18.7
24357,1.0,18.8
24385,1.0,19.7
24400,1.0,19.6
24420,1.0,20.1
24440,1.0,20.5
24456,1.0,19.9
24479,1.0,19.8
24505,1.0,20.7
24520,1.0,20.5
24550,1.0,20.9
24565,1.0,20.8
24581,1.0,19.6
24596,1.0,19.6
24608,1.0,18.8
24622,1.0,18.2
24634,1.0,17.8
24646,1.0,16.7
24663,1.0,15.8
24682,1.0,16.2
24697,1.0,14.7
24712,1.0,14.7
24729,1.0,14.8
24743,1.0,14.7
24756,1.0,14.8
24770,1.0,14.8
24796,1.0,16.2
24812,1.0,16.6
24826,1.0,16.3
24849,1.0,16.7
24867,1.0,17.0
24883,1.0,17.1
24899,1.0,17.0
24914,1.0,17.1
24937,1.0,18.1
24953,1.0,18.3
24970,1.0,17.4
24989,1.0,17.7
25001,1.0,17.5
25020,1.0,17.1
25040,1.0,17.3
25059,1.0,17.6
25078,1.0,17.9
25093,1.0,17.9
25108,1.0,17.1
25120,1.0,16.7
25133,1.0,16.3
25147,1.0,15.8
25160,1.0,15.9
25177,1.0,15.7
25192,1.0,15.2
25206,1.0,14.7
25220,1.0,14.2
25233,1.0,14.0
25255,1.0,14.7
25279,1.0,15.9
25300,1.0,16.7
25314,1.0,16.7
25328,1.0,16.8
25348,1.0,17.1
25362,1.0,17.0
25376,1.0,17.0
25390,1.0,17.0
25403,1.0,17.0
25417,1.0,16.2
25434,1.0,15.5
25453,1.0,15.3
25472,1.0,15.8
25496,1.0,16.8
25510,1.0,16.2
25524,1.0,16.2
25543,1.0,16.7
25557,1.0,16.7
25574,1.0,17.1
25589,1.0,17.2
