timesteps,ep_rew_mean,ep_len_mean
19243,0.922,22.2
19266,0.9202,22.7
19301,0.9149,24.2
19322,0.9142,24.4
19344,0.9132,24.7
19370,0.9163,23.8
19394,0.9146,24.3
19422,0.9128,24.8
19444,0.9146,24.3
19461,0.9177,23.4
19482,0.916,23.9
19503,0.9167,23.7
19519,0.9234,21.8
19539,0.9237,21.7
19557,0.9251,21.3
19576,0.9276,20.6
19598,0.9283,20.4
19618,0.9311,19.6
19642,0.9304,19.8
19664,0.9286,20.3
19691,0.9265,20.9
19711,0.9269,20.8
19736,0.9237,21.7
19759,0.9227,22.0
19782,0.9209,22.5
19858,0.9009,28.2
19879,0.9012,28.1
19899,0.9012,28.1
19931,0.8984,28.9
19958,0.8966,29.4
19988,0.8956,29.7
20017,0.8924,30.6
20050,0.8896,31.4
20072,0.89,31.3
20099,0.8886,31.7
20118,0.9086,26.0
20143,0.9072,26.4
20157,0.9093,25.8
20181,0.9121,25.0
20214,0.91,25.6
20232,0.9142,24.4
20259,0.9149,24.2
20337,0.8991,28.7
20359,0.8991,28.7
20377,0.9023,27.8
20396,0.9023,27.8
20412,0.9054,26.9
20427,0.9051,27.0
20450,0.9054,26.9
20481,0.9061,26.7
20503,0.9047,27.1
20520,0.9082,26.1
20533,0.9311,19.6
20553,0.9318,19.4
20576,0.93,19.9
20596,0.9297,20.0
20616,0.9283,20.4
20635,0.9269,20.8
20654,0.9283,20.4
20668,0.9343,18.7
20683,0.9367,18.0
20710,0.9332,19.0
20737,0.9283,20.4
20753,0.9297,20.0
20772,0.9311,19.6
20789,0.9321,19.3
20808,0.9325,19.2
20825,0.9332,19.0
20846,0.9325,19.2
20866,0.9304,19.8
20891,0.9269,20.8
20905,0.9314,19.5
20923,0.9346,18.6
20941,0.9339,18.8
20999,0.9202,22.7
21018,0.9195,22.9
21033,0.9209,22.5
21049,0.9213,22.4
21070,0.9213,22.4
21084,0.9234,21.8
21103,0.9255,21.2
21124,0.923,21.9
21140,0.9237,21.7
21173,0.9184,23.2
21193,0.9318,19.4
21207,0.9336,18.9
21224,0.9329,19.1
21250,0.9293,20.1
21266,0.9311,19.6
21284,0.9297,20.0
21300,0.9307,19.7
21314,0.9332,19.0
21337,0.9307,19.7
21354,0.9364,18.1
21381,0.9339,18.8
21405,0.9304,19.8
21425,0.9293,20.1
21448,0.9304,19.8
21461,0.9314,19.5
21476,0.9325,19.2
21490,0.9332,19.0
21528,0.9248,21.4
21542,0.9279,20.5
21566,0.9255,21.2
21584,0.9286,20.3
21604,0.93,19.9
21623,0.9304,19.8
21644,0.9311,19.6
21661,0.9297,20.0
21682,0.9276,20.6
21713,0.9216,22.3
21730,0.929,20.2
21747,0.9279,20.5
21769,0.9286,20.3
21783,0.93,19.9
21799,0.9314,19.5
21816,0.9321,19.3
21831,0.9343,18.7
21844,0.9357,18.3
21866,0.9353,18.4
21883,0.9402,17.0
21897,0.9413,16.7
21918,0.9399,17.1
21936,0.9413,16.7
21954,0.9399,17.1
21978,0.9371,17.9
21992,0.9381,17.6
22007,0.9381,17.6
22025,0.9364,18.1
22054,0.9339,18.8
22070,0.9343,18.7
22093,0.9311,19.6
22113,0.9314,19.5
22135,0.93,19.9
22153,0.93,19.9
22168,0.9332,19.0
22196,0.9283,20.4
22213,0.9276,20.6
22228,0.9286,20.3
22252,0.9304,19.8
22268,0.9304,19.8
22286,0.9321,19.3
22318,0.9279,20.5
22337,0.929,20.2
22354,0.9293,20.1
22377,0.9265,20.9
22393,0.9307,19.7
22408,0.9314,19.5
22430,0.929,20.2
22448,0.9311,19.6
22470,0.929,20.2
22487,0.9293,20.1
22511,0.9321,19.3
22535,0.9304,19.8
22550,0.9311,19.6
22566,0.9336,18.9
22581,0.9339,18.8
22600,0.9325,19.2
22614,0.9353,18.4
22628,0.9367,18.0
22642,0.9395,17.2
22659,0.9395,17.2
22675,0.9423,16.4
22695,0.9437,16.0
22713,0.9427,16.3
22726,0.9437,16.0
22748,0.9413,16.7
22765,0.942,16.5
22788,0.9388,17.4
22804,0.9381,17.6
22821,0.9371,17.9
22837,0.9374,17.8
22853,0.9374,17.8
22866,0.9399,17.1
22882,0.9406,16.9
22897,0.9399,17.1
22911,0.9427,16.3
22924,0.9441,15.9
22938,0.9473,15.0
22960,0.9452,15.6
22977,0.9452,15.6
22997,0.9437,16.0
23013,0.9437,16.0
23027,0.9434,16.1
23040,0.9445,15.8
23056,0.9441,15.9
23073,0.943,16.2
23087,0.9427,16.3
23109,0.9399,17.1
23127,0.9413,16.7
23147,0.9402,17.0
23163,0.9416,16.6
23180,0.9413,16.7
23195,0.9409,16.8
23211,0.9399,17.1
23228,0.9395,17.2
23251,0.9374,17.8
23268,0.9364,18.1
23281,0.9395,17.2
23297,0.9402,17.0
23317,0.9402,17.0
23334,0.9399,17.1
23351,0.9399,17.1
23368,0.9392,17.3
23381,0.9402,17.0
23397,0.9406,16.9
23414,0.9427,16.3
23428,0.9437,16.0
23444,0.9427,16.3
23460,0.9427,16.3
23474,0.9448,15.7
23491,0.9448,15.7
23505,0.9459,15.4
23526,0.9445,15.8
23539,0.9445,15.8
23551,0.9459,15.4
23564,0.9473,15.0
23581,0.9462,15.3
23597,0.9462,15.3
23616,0.9452,15.6
23629,0.9455,15.5
23643,0.9466,15.2
23661,0.9452,15.6
23680,0.9459,15.4
23697,0.9445,15.8
23710,0.9441,15.9
23726,0.943,16.2
23742,0.9434,16.1
23757,0.9437,16.0
23774,0.9445,15.8
23789,0.9437,16.0
23806,0.9427,16.3
23827,0.9416,16.6
23842,0.943,16.2
23855,0.9445,15.8
23875,0.942,16.5
23892,0.9416,16.6
23908,0.9416,16.6
23924,0.9413,16.7
23940,0.9416,16.6
23954,0.942,16.5
23971,0.942,16.5
23988,0.9434,16.1
24002,0.9437,16.0
24018,0.9427,16.3
24036,0.9434,16.1
24056,0.9423,16.4
24071,0.9427,16.3
24089,0.942,16.5
24110,0.9402,17.0
24127,0.9392,17.3
24141,0.9402,17.0
24155,0.9413,16.7
24170,0.9409,16.8
24188,0.9402,17.0
24209,0.9392,17.3
24228,0.9395,17.2
24240,0.9406,16.9
24254,0.942,16.5
24270,0.9437,16.0
24284,0.9448,15.7
24300,0.9441,15.9
24313,0.9445,15.8
24332,0.943,16.2
24350,0.943,16.2
24383,0.9388,17.4
24401,0.9392,17.3
24416,0.9381,17.6
24432,0.9374,17.8
24446,0.9381,17.6
24474,0.9332,19.0
24491,0.9329,19.1
24507,0.9318,19.4
24522,0.9332,19.0
24538,0.9339,18.8
24560,0.9378,17.7
24574,0.9392,17.3
24589,0.9392,17.3
24601,0.9406,16.9
24619,0.9392,17.3
24634,0.9437,16.0
24649,0.9445,15.8
24662,0.9455,15.5
24676,0.9459,15.4
24693,0.9455,15.5
24707,0.9483,14.7
24721,0.9483,14.7
24734,0.949,14.5
24749,0.948,14.8
24763,0.9494,14.4
24777,0.9497,14.3
24795,0.9487,14.6
24810,0.948,14.8
24826,0.9473,15.0
24838,0.949,14.5
24852,0.949,14.5
24865,0.9494,14.4
24879,0.949,14.5
24893,0.9494,14.4
24906,0.9497,14.3
24920,0.9497,14.3
24933,0.9515,13.8
24950,0.9508,14.0
24964,0.9515,13.8
24979,0.9504,14.1
24993,0.9504,14.1
25005,0.9508,14.0
25018,0.9511,13.9
25033,0.9508,14.0
25049,0.9497,14.3
25067,0.9483,14.7
25083,0.9473,15.0
25100,0.9473,15.0
25115,0.9469,15.1
25130,0.9469,15.1
25147,0.9459,15.4
25160,0.9455,15.5
25174,0.9452,15.6
25186,0.9462,15.3
25201,0.9466,15.2
25213,0.9487,14.6
25226,0.9497,14.3
25246,0.9487,14.6
25264,0.9476,14.9
25278,0.948,14.8
25294,0.9483,14.7
25309,0.9476,14.9
25322,0.948,14.8
25338,0.9466,15.2
25352,0.9469,15.1
25364,0.9469,15.1
25377,0.9469,15.1
25395,0.9476,14.9
25414,0.9473,15.0
25427,0.9476,14.9
25444,0.9473,15.0
25458,0.9476,14.9
25470,0.948,14.8
25488,0.9473,15.0
25503,0.9469,15.1
25517,0.9462,15.3
25529,0.9466,15.2
25543,0.948,14.8
25566,0.9466,15.2
25580,0.9462,15.3
25592,0.948,14.8
25610,0.9466,15.2
25626,0.9452,15.6
25640,0.9466,15.2
25653,0.9473,15.0
25667,0.9473,15.0
25683,0.9459,15.4
25698,0.9455,15.5
25710,0.9494,14.4
25725,0.949,14.5
25739,0.9483,14.7
25751,0.9504,14.1
25763,0.9518,13.7
25776,0.9522,13.6
25791,0.9515,13.8
25804,0.9518,13.7
25819,0.9522,13.6
25835,0.9518,13.7
25848,0.9515,13.8
25862,0.9518,13.7
25874,0.9525,13.5
25889,0.9515,13.8
25903,0.9508,14.0
25917,0.9504,14.1
25930,0.9511,13.9
25944,0.9508,14.0
25963,0.9494,14.4
25977,0.9501,14.2
25996,0.948,14.8
26011,0.9476,14.9
26027,0.9462,15.3
26045,0.9452,15.6
26057,0.9459,15.4
26070,0.9462,15.3
26086,0.9452,15.6
26103,0.9441,15.9
26115,0.9466,15.2
26129,0.9466,15.2
26143,0.9483,14.7
26156,0.949,14.5
26175,0.948,14.8
26189,0.9494,14.4
26201,0.9494,14.4
26223,0.9462,15.3
26236,0.9473,15.0
26249,0.9487,14.6
26263,0.948,14.8
26277,0.948,14.8
26291,0.948,14.8
26303,0.9483,14.7
26318,0.9497,14.3
26332,0.9497,14.3
26346,0.949,14.5
26359,0.9522,13.6
26372,0.9522,13.6
26384,0.9525,13.5
26398,0.9525,13.5
26412,0.9525,13.5
26431,0.9508,14.0
26447,0.9494,14.4
26461,0.9497,14.3
26474,0.9501,14.2
26492,0.9487,14.6
26506,0.9483,14.7
26518,0.9487,14.6
26532,0.948,14.8
26545,0.9483,14.7
26563,0.9469,15.1
26582,0.9469,15.1
26596,0.9476,14.9
26609,0.948,14.8
26625,0.9469,15.1
26640,0.948,14.8
26652,0.9487,14.6
26664,0.9487,14.6
26676,0.9494,14.4
26691,0.9487,14.6
26703,0.9508,14.0
26717,0.9525,13.5
26729,0.9532,13.3
26741,0.9536,13.2
26754,0.9546,12.9
26767,0.9554,12.7
26784,0.9536,13.2
26797,0.9532,13.3
26810,0.9529,13.4
26824,0.9532,13.3
26837,0.9529,13.4
26849,0.9536,13.2
26862,0.9532,13.3
26874,0.9532,13.3
26889,0.9525,13.5
26901,0.9529,13.4
26914,0.9543,13.0
26927,0.9543,13.0
26939,0.9546,12.9
26953,0.9546,12.9
26965,0.955,12.8
26977,0.955,12.8
26990,0.955,12.8
27002,0.955,12.8
27017,0.955,12.8
27032,0.9539,13.1
27046,0.9536,13.2
27059,0.9536,13.2
27072,0.9532,13.3
27084,0.9539,13.1
27096,0.9539,13.1
27108,0.9539,13.1
27120,0.9543,13.0
27132,0.9543,13.0
27146,0.9546,12.9
27159,0.9554,12.7
27172,0.9557,12.6
27184,0.9561,12.5
27196,0.9564,12.4
27208,0.9564,12.4
27220,0.9564,12.4
27233,0.9561,12.5
27246,0.9557,12.6
27258,0.9557,12.6
27272,0.9557,12.6
27288,0.9546,12.9
27301,0.9546,12.9
27316,0.9536,13.2
27330,0.9529,13.4
27345,0.9518,13.7
27357,0.9518,13.7
27369,0.9522,13.6
27381,0.9525,13.5
27393,0.9525,13.5
27408,0.9522,13.6
27421,0.9532,13.3
27434,0.9532,13.3
27448,0.9536,13.2
27465,0.9525,13.5
27480,0.9525,13.5
27493,0.9522,13.6
27505,0.9522,13.6
27519,0.9515,13.8
27532,0.9511,13.9
27544,0.9522,13.6
27556,0.9525,13.5
27568,0.9529,13.4
27580,0.9536,13.2
27593,0.955,12.8
27606,0.9557,12.6
27620,0.9554,12.7
27632,0.9554,12.7
27647,0.955,12.8
27662,0.9543,13.0
27674,0.9543,13.0
27689,0.9532,13.3
27702,0.9529,13.4
27719,0.9511,13.9
27732,0.9511,13.9
27745,0.9511,13.9
27758,0.9515,13.8
27770,0.9515,13.8
27783,0.9522,13.6
27797,0.9525,13.5
27812,0.9515,13.8
27825,0.9522,13.6
27837,0.9525,13.5
27850,0.9539,13.1
27862,0.9543,13.0
27874,0.9546,12.9
27886,0.955,12.8
27898,0.955,12.8
27913,0.9543,13.0
27926,0.9546,12.9
27939,0.9554,12.7
27951,0.9557,12.6
27963,0.9557,12.6
27975,0.9561,12.5
27988,0.9557,12.6
28003,0.9546,12.9
28018,0.9536,13.2
28030,0.9536,13.2
28044,0.9539,13.1
28058,0.9536,13.2
28072,0.9532,13.3
28085,0.9529,13.4
28099,0.9522,13.6
28111,0.9522,13.6
28123,0.9525,13.5
28138,0.9525,13.5
28154,0.9522,13.6
28169,0.9511,13.9
28181,0.9518,13.7
28194,0.9522,13.6
28208,0.9522,13.6
28224,0.9511,13.9
28238,0.9511,13.9
28251,0.9508,14.0
28266,0.9497,14.3
28278,0.9508,14.0
28293,0.9511,13.9
28306,0.9518,13.7
28318,0.9518,13.7
28331,0.9518,13.7
28345,0.9518,13.7
28357,0.9532,13.3
28371,0.9532,13.3
28383,0.9536,13.2
28398,0.9536,13.2
28410,0.9536,13.2
28423,0.9543,13.0
28437,0.9539,13.1
28450,0.9536,13.2
28464,0.9532,13.3
28476,0.9539,13.1
28489,0.9536,13.2
28527,0.9452,15.6
28540,0.9448,15.7
28553,0.9455,15.5
28565,0.9455,15.5
28577,0.9459,15.4
28589,0.9466,15.2
28602,0.9466,15.2
28617,0.9462,15.3
28629,0.9462,15.3
28643,0.9459,15.4
28655,0.955,12.8
28669,0.9546,12.9
28681,0.955,12.8
28723,0.9445,15.8
28736,0.9441,15.9
28749,0.9437,16.0
28762,0.9437,16.0
28774,0.9448,15.7
28787,0.9445,15.8
28799,0.9452,15.6
28812,0.9448,15.7
