timesteps,ep_rew_mean,ep_len_mean
24183,2.25,26.5
24207,2.25,23.2
24227,2.25,23.5
24242,2.25,23.4
24273,2.25,25.2
24305,2.25,24.5
24318,2.25,23.4
24340,2.25,24.1
24389,2.25,25.8
24405,2.25,25.8
24425,2.25,24.2
24456,2.25,24.9
24483,2.25,25.6
24515,2.25,27.3
24533,2.25,26.0
24574,2.25,26.9
24590,2.25,27.2
24608,2.25,26.8
24629,2.25,24.0
24672,2.25,26.7
24685,2.25,26.0
24718,2.25,26.2
24732,2.25,24.9
24763,2.25,24.8
24795,2.25,26.2
24810,2.25,23.6
24826,2.25,23.6
24853,2.25,24.5
24867,2.25,23.8
24897,2.25,22.5
24920,2.25,23.5
24937,2.25,21.9
25001,2.25,26.9
25020,2.25,25.7
25033,2.25,23.8
25050,2.25,24.0
25065,2.25,23.9
25085,2.25,23.2
25108,2.25,24.1
25156,2.25,25.9
25175,2.25,25.5
25200,2.25,26.3
25213,2.25,21.2
25252,2.25,23.2
25266,2.25,23.3
25279,2.25,22.9
25299,2.25,23.4
25315,2.25,23.0
25329,2.25,22.1
25343,2.25,18.7
25358,2.25,18.3
25390,2.25,19.0
25403,2.25,19.0
25420,2.25,16.8
25438,2.25,17.2
25455,2.25,17.6
25469,2.25,17.0
25503,2.25,18.8
25521,2.25,19.2
25544,2.25,20.1
25557,2.25,19.9
25573,2.25,18.3
25619,2.25,21.6
25633,2.25,21.3
25647,2.25,20.9
25686,2.25,23.1
25704,2.25,23.5
25742,2.25,23.9
25757,2.25,23.6
25809,2.25,26.5
25840,2.25,28.3
25860,2.25,28.7
25879,2.25,26.0
25903,2.25,27.0
25918,2.25,27.1
25935,2.25,24.9
25949,2.25,24.5
25965,2.25,22.3
26000,2.25,24.3
26022,2.25,21.3
26035,2.25,19.5
26051,2.25,19.1
26072,2.25,19.3
26105,2.25,20.2
26124,2.25,20.6
26148,2.25,21.3
26162,2.25,21.3
26180,2.25,21.5
26205,2.25,20.5
26220,2.25,19.8
26236,2.25,20.1
26295,2.25,24.4
26311,2.25,23.9
26332,2.25,22.7
26351,2.25,22.7
26374,2.25,22.6
26387,2.25,22.5
26406,2.25,22.6
26421,2.25,21.6
