timesteps,ep_rew_mean,ep_len_mean
58731,1.8141,49.2
58849,1.8267,59.5
59123,1.8116,79.1
59157,1.803,78.3
59191,1.8044,79.1
59235,1.8044,81.3
59421,1.8044,95.9
59448,1.7937,93.0
59487,1.7845,84.0
59515,1.7894,81.0
59567,1.7952,83.6
59614,1.785,76.5
59649,1.7952,52.6
59693,1.8018,53.6
59742,1.797,55.1
59767,1.8042,53.2
59784,1.7994,36.3
59830,1.8066,38.2
59864,1.8158,37.7
59935,1.8056,42.0
59952,1.7997,38.5
59994,1.8206,38.0
60046,1.8197,39.7
60133,1.8254,44.0
60177,1.8356,43.5
60201,1.8459,43.4
60238,1.8674,45.4
60268,1.8841,43.8
60298,1.8841,43.4
60353,1.8827,41.8
60383,1.8899,43.1
60420,1.8772,42.6
60474,1.868,42.8
60520,1.8465,38.7
60556,1.8521,37.9
60577,1.8453,37.6
60664,1.8213,42.6
60861,1.7974,59.3
60882,1.7916,58.4
60942,1.7974,58.9
60986,1.8084,60.3
61009,1.7978,58.9
61050,1.808,57.6
61078,1.8114,55.8
61134,1.7932,57.8
61162,1.7977,58.5
61237,1.8103,57.3
61273,1.8175,41.2
61308,1.8141,42.6
61340,1.8199,39.8
61368,1.8076,38.2
61389,1.8148,38.0
61414,1.8128,36.4
61467,1.807,38.9
61503,1.8252,36.9
61531,1.8158,36.9
61568,1.8032,33.1
61606,1.8142,33.3
61626,1.8118,31.8
61682,1.7943,34.2
61790,1.7943,42.2
61815,1.7871,42.6
61997,1.7871,58.3
62035,1.8053,56.8
62053,1.8046,55.0
62104,1.8012,57.3
62121,1.8129,55.3
62394,1.8005,78.8
62427,1.8029,80.1
62446,1.8087,76.4
62471,1.8029,68.1
62609,1.8087,79.4
62679,1.8097,68.2
62703,1.7973,66.8
62723,1.7857,67.0
62756,1.7891,65.2
62793,1.7949,67.2
62813,1.8066,41.9
62859,1.8114,43.2
62885,1.8114,43.9
62999,1.8186,52.8
63030,1.8254,42.1
63129,1.834,45.0
63197,1.834,49.4
63223,1.834,50.0
63253,1.8398,49.7
63275,1.8349,48.2
63293,1.8174,48.0
63307,1.8102,44.8
63325,1.816,44.0
63384,1.8291,38.5
63451,1.8281,42.1
63476,1.8195,34.7
63492,1.8161,29.5
63513,1.8278,29.0
63554,1.822,30.1
63584,1.8093,30.9
63600,1.8268,30.7
63692,1.8385,38.5
63760,1.8268,43.5
63781,1.8138,39.7
63819,1.8255,36.8
63861,1.8264,38.5
63899,1.8264,40.7
63971,1.8215,45.8
63994,1.8283,44.0
64022,1.8341,43.8
64059,1.8191,45.9
64090,1.8132,39.8
64129,1.8249,36.9
64151,1.8235,37.0
64172,1.8002,35.3
64194,1.79,33.3
64217,1.7934,31.8
64290,1.7808,31.9
64768,1.7682,77.4
64839,1.7623,81.7
64867,1.7725,80.8
64913,1.7784,82.3
64945,1.7849,81.6
64974,1.7908,82.3
65006,1.8083,83.4
65049,1.8117,85.5
65072,1.8185,85.5
65123,1.8257,83.3
65195,1.8432,42.7
65236,1.8584,39.7
65253,1.8516,38.6
65277,1.8458,36.4
65295,1.8275,35.0
65458,1.8311,48.4
65507,1.8288,50.1
65520,1.8229,47.1
