timesteps,ep_rew_mean,ep_len_mean
6063,0.3434,18.1
6088,0.3326,19.3
6107,0.3371,18.8
6108,0.2578,16.6
6118,0.1839,14.7
6139,0.1604,8.3
6160,0.2415,10.2
6211,0.2956,15.2
6212,0.2956,15.1
6216,0.2956,15.4
6217,0.2956,15.4
6219,0.2181,13.1
6221,0.1352,11.4
6238,0.2199,13.0
6252,0.3073,13.4
6259,0.401,12.0
6260,0.3199,10.0
6273,0.3541,6.2
6320,0.4118,10.8
6328,0.5046,11.2
6336,0.5046,11.9
6338,0.5046,11.9
6339,0.5046,11.8
6350,0.4199,11.2
6368,0.3325,11.6
6377,0.3307,11.8
6379,0.3307,11.9
6380,0.2424,10.7
6382,0.1847,6.2
6415,0.0919,8.7
6483,0.1307,14.7
6493,0.1307,15.5
6494,0.1307,15.5
6495,0.1307,14.5
6507,0.1307,13.9
6508,0.0388,13.1
6526,0.1226,14.7
6538,0.1226,15.8
6540,0.1226,15.8
6561,0.1226,14.6
6589,0.1586,10.6
6590,0.1586,9.7
6601,0.2487,10.7
6602,0.2487,10.7
6611,0.3406,10.4
6624,0.3406,11.6
6632,0.2568,10.6
6664,0.2568,12.6
6666,0.2568,12.6
6691,0.3343,13.0
6714,0.3388,12.5
6717,0.3388,12.7
6719,0.2487,11.8
6740,0.2487,13.8
6741,0.1568,13.0
6744,0.1568,12.0
6745,0.1568,11.3
6747,0.1568,8.3
6766,0.1568,10.0
6769,0.0793,7.8
6772,0.0,5.8
6787,0.0865,7.0
6817,0.1595,9.8
6826,0.2514,8.6
6830,0.2514,8.9
6832,0.2514,8.8
6846,0.2514,10.1
6848,0.2514,10.1
6850,0.2514,8.4
6851,0.2514,8.2
6883,0.2514,11.1
6888,0.1649,10.1
6903,0.1784,8.6
6904,0.0865,7.8
6905,0.0865,7.5
6906,0.0865,7.4
6907,0.0865,6.1
6920,0.1748,7.2
6926,0.1748,7.6
6928,0.1748,7.7
6931,0.1748,4.8
6963,0.246,7.5
6964,0.1595,6.1
6965,0.1595,6.1
6976,0.2496,7.1
6981,0.2496,7.5
6996,0.2496,8.9
6998,0.1613,7.8
6999,0.1613,7.3
7001,0.1613,7.3
7038,0.228,10.7
7039,0.1568,7.6
7048,0.2487,8.4
7049,0.2487,8.4
7056,0.2523,8.0
7059,0.2523,7.8
7071,0.3415,7.5
7101,0.4145,10.3
7115,0.4145,11.6
7126,0.5046,12.5
7139,0.5262,10.1
7142,0.5262,10.3
7143,0.4343,9.5
7144,0.4343,9.5
7164,0.4226,10.8
7189,0.5001,13.0
7206,0.4956,13.5
7207,0.4226,10.6
7225,0.5064,11.0
7238,0.4163,11.2
7239,0.328,10.0
7244,0.328,10.2
7268,0.4064,12.5
7269,0.4064,12.5
7287,0.4082,12.3
7306,0.4136,11.7
7322,0.4145,11.6
7323,0.4145,11.6
7355,0.4019,13.0
7356,0.4019,11.8
7363,0.4019,12.4
7374,0.492,13.0
7376,0.4136,10.8
7378,0.4136,10.9
7379,0.3298,9.2
7383,0.2469,7.7
7384,0.1613,6.2
7412,0.1613,8.9
7413,0.0901,5.8
7489,0.1217,13.3
7497,0.1217,13.4
7516,0.0316,14.2
7519,0.0316,14.3
7526,0.0316,14.8
7554,0.1064,17.5
7555,0.1064,17.2
7564,0.1983,18.0
7565,0.1983,15.3
7568,0.1983,15.5
7569,0.1667,8.0
7597,0.2415,10.0
7616,0.2415,10.0
7617,0.2415,9.8
7618,0.2415,9.2
7621,0.1667,6.7
7623,0.1667,6.8
7625,0.0748,6.1
7663,0.1406,9.8
7665,0.1406,9.7
7670,0.1406,10.1
7707,0.0658,11.0
7709,0.0658,9.3
7730,0.0658,11.3
7767,0.1325,14.9
7768,0.1325,14.7
7775,0.1325,15.2
7776,0.1325,15.1
7783,0.0667,12.0
7784,0.0667,11.9
7794,0.0667,12.4
7801,0.1604,9.4
7806,0.1604,9.7
7808,0.1604,7.8
7854,0.1523,8.7
7855,0.1523,8.7
7858,0.1523,8.3
7859,0.1523,8.3
7879,0.1523,9.6
7880,0.1523,9.6
7896,0.1523,10.2
7899,0.0586,9.8
7901,0.0586,9.5
7968,0.0586,16.0
7969,0.0,11.5
8011,0.0,15.6
8019,0.0,16.1
8037,0.0838,17.8
8038,0.0838,15.9
8058,0.1658,17.8
8081,0.2451,18.5
8082,0.2451,18.3
8084,0.2451,18.3
